Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe & Central Asia,ECS,,27375117.727,27375097.727,27375107.727,27375107.727,27375097.727,27375087.727,27375077.727,27375067.727,27375067.727,27375057.727,27375047.727,27375047.727,27375047.727,27375017.727,27374897.727,27374817.727,27374797.727,27374797.727,27374757.727,27374677.727,27374657.727,27374647.727,27374607.727,27374618.727,27374618.727,27374618.727,27374618.727,27374608.727,27373618.727,27373618.727,27373728.727,27373728.727,27369982.727,27365148.727,27362148.727,27361803.727,27431143.727,27433591.727,27440379.727,27444772.187,27443282.187,27442580.187,27443088.187,27443072.187,27442992.187,27438710.187,27438552.187,27437095.387,27437983.987,27439220.387,27439053.187,27439192.887,27440481.347,27440078.787,27444358.057,27444713.487,27443978.207,27444654.936,27444478.543,27443748.824,,
Ecuador,ECU,,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,,
Egypt Arab Rep.,EGY,,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,,
Euro area,EMU,,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678663,2678633,2678513,2678453,2678423,2678413,2678423,2678353,2678343,2678343,2678313,2678323,2678323,2678323,2678323,2678323,2678323,2678323,2678323,2678323,2678313,2678303,2678293,2678283,2678243,2678213,2678173,2679346.46,2678816.46,2679296.46,2679726.46,2679346.46,2679206.46,2678576.46,2678636.46,2678097.66,2678017.26,2679328.66,2679164.46,2679474.16,2680874.66,2680862.06,2680277.66,2680670.06,2679948.51,2680001.939,2679977.496,2679977.105,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,120982.625,121025.326,121004.031,121032.606,121057.494,121069.592,121065.103,121088.989,121082.12,121049.278,121036.185,121088.775,121077.459,121071.233,121077.714,121080.546,121040.829,,
Spain,ESP,,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499750,499630,499570,499540,499530,499540,499470,499460,499460,499430,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661,499564,499547.35,499603.479,499570.036,499556.645,,
Estonia,EST,,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470,42750,42750,42750,42750,,
Ethiopia,ETH,,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1128597.297,1128599.766,1128613.221,1128631.059,1128568.396,1128588.692,1128570.952,1128575.061,1128582.022,1128572.048,1128538.282,1128539.353,1128558.509,1128552.82,1128561.429,1128570.858,1128571.265,,
European Union,EUU,,3996482.7,3996462.7,3996472.7,3996472.7,3996462.7,3996452.7,3996442.7,3996432.7,3996432.7,3996422.7,3996412.7,3996412.7,3996412.7,3996382.7,3996262.7,3996182.7,3996162.7,3996162.7,3996122.7,3996042.7,3996022.7,3996012.7,3995972.7,3995982.7,3995982.7,3995982.7,3995982.7,3995972.7,3994982.7,3994982.7,3995092.7,3995092.7,3995072.7,3995112.7,3995082.7,3995172.7,3995082.7,3995042.7,3995012.7,3996118.16,3995588.16,3994398.16,3994880.16,3994620.16,3994330.16,3993670.16,3993620.16,3993061.36,3993990.96,3995282.36,3995188.16,3995337.86,3996728.36,3997475.76,3996852.3,3997244.7,3996523.15,3996556.579,3996440.586,3996449.167,,
Fragile and conflict affected situations,FCS,,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20185001,20184601,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184201,20184191,20184001,20332440.922,20332466.092,20332608.252,20332684.665,20332426.89,20329399.284,20329327.055,20329385.05,20453175.142,20452870.326,20452793.467,20452847.128,20452554.968,20452523.053,20452588.143,20452600.404,20452531.094,,
Finland,FIN,,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910,303920,303920,303930,303940,,
Fiji,FJI,,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,,
France,FRA,,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547567,547567,547567,547867,547567,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,,
Faroe Islands,FRO,,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1366,,
Micronesia Fed. Sts.,FSM,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,,
Gabon,GAB,,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,,
United Kingdom,GBR,,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,,
Georgia,GEO,,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,,
Ghana,GHA,,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227533,,
Gibraltar,GIB,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Guinea,GIN,,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,,
Gambia The,GMB,,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,,
Guinea-Bissau,GNB,,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,,
Equatorial Guinea,GNQ,,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,,
Greece,GRC,,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,,
Grenada,GRD,,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,,
Greenland,GRL,,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,,
Guatemala,GTM,,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,,
Guam,GUM,,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,,
Guyana,GUY,,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,,
High income,HIC,,35178796.727,35178776.727,35178786.727,35178786.727,35178776.727,35178766.727,35178756.727,35178746.727,35178746.727,35178736.727,35178726.727,35178626.727,35178626.727,35178596.727,35178366.727,35178286.727,35178156.727,35178156.727,35178116.727,35177846.727,35177926.727,35177706.727,35177666.727,35176177.727,35176077.727,35176177.727,35176077.727,35176067.727,35175077.727,35175077.727,35175187.727,35175207.727,35175187.727,35175227.727,35175257.727,35175246.727,35243905.727,35243864.727,35243833.727,35247709.187,35247464.187,35248159.187,35248702.187,35248484.187,35248352.187,35247736.787,35247757.387,35232783.587,35233833.487,35235269.087,35235222.087,35235496.787,35236883.647,35237283.087,35236764.457,35246876.987,35246158.007,35246830.536,35246785.543,35245959.124,,
Hong Kong SAR China,HKG,,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1010,1010,1000,1000,1000,1000,1000,990,990,990,990,990,990,990,990,990,990,990,990,990,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,,
Honduras,HND,,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,,
Heavily indebted poor countries (HIPC),HPC,,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753851,19753451,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19753191,19901770.922,19901816.092,19901808.252,19901854.665,19901816.89,19901849.284,19902537.055,19902820.05,19394820.142,19394782.326,19394735.467,19394789.128,19394796.968,19394785.053,19394800.143,19394812.404,19394766.094,,
Croatia,HRV,,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55980,55980,55910,55910,55912,55912,55912,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55960,,
Haiti,HTI,,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,,
Hungary,HUN,,90040,90020,90030,90030,90020,90010,90000,89990,89990,89980,89970,89970,89970,89970,89970,89950,89960,89970,89920,89910,89900,89890,89880,89880,89880,89880,89880,89870,89870,89870,89870,89870,89860,89860,89860,89860,89800,89800,89800,89620,89620,89620,89620,89620,89610,89610,89610,89610,90530,90530,90530,90530,90530,91260,91260,91260,91260,91260,91260,91260,,
IBRD only,IBD,,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058775.742,71058705.742,71058665.742,71058635.742,71058505.742,71058495.742,71058495.742,71058495.742,71058405.742,71058405.742,71058395.742,71058395.742,71058395.742,71058395.742,71058395.742,71058395.742,71058395.742,71057405.742,71057405.742,71057515.742,71057515.742,71053789.742,71048965.742,71046025.742,71045681.742,71046372.742,71020371.742,71027200.742,71071544.742,71070669.942,71068949.168,71075828.758,71075986.519,71078828.891,71078160.093,71077572.093,71076921.087,71074452.634,71074800.118,71074829.847,71074841.846,71074231.683,71074444.221,71073647.8,71073667.9,71067436.2,71067554.2,71067497.27,71067763.303,,
IDA & IBRD total,IBT,,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95808039.742,95807969.742,95807529.742,95807239.742,95807109.742,95807099.742,95807099.742,95807099.742,95807009.742,95807009.742,95806999.742,95806999.742,95806999.742,95806999.742,95806999.742,95806999.742,95806999.742,95806009.742,95806009.742,95806119.742,95806119.742,95802393.742,95790646.742,95787706.742,95787362.742,95788053.742,95762052.742,95768881.742,95824140.742,95823211.942,95821491.168,95828146.758,95975037.441,95977860.983,95977355.345,95977007.758,95976091.977,95973623.918,95974556.173,95974815.897,96098608.988,96097880.009,96096871.688,96100943.928,96100689.868,96094363.253,96094441.343,96094364.674,96094649.397,,
IDA total,IDA,,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24749264,24748864,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24748604,24741681,24741681,24741681,24741681,24741681,24741681,24752596,24752542,24752542,24752318,24899050.922,24899032.092,24899195.252,24899435.665,24899170.89,24899171.284,24899756.055,24899986.05,25023767.142,25023648.326,25022427.467,25027296.128,25027021.968,25026927.053,25026887.143,25026867.404,25026886.094,,
IDA blend,IDB,,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4379935,4379881,4379881,4379847,4379823,4379819,4379820,4379954,4379937,4379915,4379862,4379779,4379770,4379759,4379759,4384570,4384561,4384558,4384557,4384525,4384620,,
Indonesia,IDN,,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,,
IDA only,IDX,,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379894,20379494,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20379234,20372311,20372311,20372311,20372311,20372311,20372311,20372661,20372661,20372661,20372471,20519227.922,20519213.092,20519375.252,20519481.665,20519233.89,20519256.284,20519894.055,20520207.05,20643997.142,20643889.326,20642668.467,20642726.128,20642460.968,20642369.053,20642330.143,20642342.404,20642266.094,,
Isle of Man,IMN,,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,,
India,IND,,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,,
Iran Islamic Rep.,IRN,,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1622500,1622500,1622500,1622500,,
Iraq,IRQ,,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,434320,434320,434320,434320,434128,434128,434128,434128,434128,434128,434128,434128,,
Iceland,ISL,,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100830,100830,100830,,
Israel,ISR,,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,,
Italy,ITA,,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295717,295717,,
Jamaica,JAM,,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,,
Jordan,JOR,,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88240,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88794,88794,,
Japan,JPN,,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366700,366600,366600,366600,366500,366500,366400,366400,366400,366300,366400,366200,366200,364700,364600,364700,364600,364600,364600,364600,364600,364600,364600,364600,364600,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,,
Kazakhstan,KAZ,,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,,
Kenya,KEN,,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,,
Kyrgyz Republic,KGZ,,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,,
Cambodia,KHM,,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,,
Kiribati,KIR,,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,,
St. Kitts and Nevis,KNA,,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,,
Korea Rep.,KOR,,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96460,96740,96790,96800,96820,96850,96880,96920,96990,97060,97200,97190,97310,97426,97430,97445,97489,97510,97520,97600,97600,,
Kuwait,KWT,,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,,
Latin America & Caribbean (excluding high income),LAC,,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168730,18168870,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18168740,18140260,18140260,18140260,18140260,18139250,18139260,18139270,18139300,18139290,18139300,18139300,18139300,18139300,18139723,18139509,18137080,18136880,18136960,18136900,18136660,18136660,18136660,18136660,,
